from,to,weight
UVDL,NR,2
UVDL,LK,1
UVDL,SW,1
UVDL,CS,1
LK,UVDL,1
LK,NR,1
LK,SW,1
LK,CS,1
NR,UVDL,2
NR,LK,1
NR,SW,1
NR,CS,1
SW,UVDL,1
SW,LK,1
SW,NR,1
SW,CS,1
CS,UVDL,1
CS,NR,1
CS,LK,1
CS,SW,1
